company,answer,summary,luck,work,people
The Tetris Company,"Oh, it's, it's all because of hard work. I mean, this is not like I rolled a dice and something happened. I like to compare it to surfing. I used to, I used to surf and basically, you know, some day a giant wave is gonna come and If, you haven't surfed the small waves and worked and worked and paddled and paddled and, and, and learned all that stuff. Then when that big wave comes up, you're just gonna get killed. The, the, the, you need to know how to surf before you, you know, and you can't read about it in a book. This is, you've gotta get out in the water and try stuff.","Success is attributed mainly to hard work and preparation, similar to surfing where one needs to practice and learn before encountering big challenges.",0,10,0
Crate & Barrel,"Well, the lucky part was our timing and was just that the appropriate time to be going to Europe to find new contemporary design and tabletop and Furniture and Things. I think it was a talent of attracting people and making make them feel like we were all in it together that I didn't realize I had nor did I realized I was good at for many many years, but I was and I think that had a lot to do with it. I was lucky to be married to Carol Siegel who had this enormous talent and you know, we started out to create something that was going to be different and beautiful and wonderful, and this is still in the culture to company and great depth and they're still doing very well, you know.","The success is attributed to a combination of luck, skill, and the people around them.",5,5,5
Brooklinen,"There's a mix. I mean, I think it's lucky. There's some things that are crazy lucky like that rich ran into Neil Blumenthal and he's suggested that, you know, he look at things like that's crazy luck, but a lot of it was working really hard and talking to people and trying to get the word out like day in day out pound the pavement. So that part I can't say this lucky was just, you know, just doing it.","The guest believes that their success is a mix of luck, hard work, and networking. They mentioned encountering lucky opportunities, such as meeting influential individuals, but emphasized the importance of working hard and building connections.",4,6,5
Eleven Madison Park,"I think so much of random chance and luck. I've been extremely blessed meeting incredible people. At certain times, I have been willing to take risks for sure. You know, I think cycling has taught me to be comfortable in the uncomfortable and to go the extra mile and anyone who knows me knows that I'm willing to, you know, dig really deep to achieve certain things.","The guest attributes much of their success to luck, meeting incredible people, taking risks, and their willingness to push themselves to achieve certain things.",7,8,5
Aviator Nation,"I think that it's, it's really the hard work. I mean, me and my team of people have really done the manual labor. You know, like I didn't do all the things that people do when they have a huge investment allowance. And we did it ourselves. We figured it out ourselves. We made mistakes, we fixed 'em fast. Like, and I, and I'm a big believer in not spending a lot of money to hire these big people to come in and like blow up your brand with marketing and influencers and all this stuff because there's not hard work in that. There's just not. And then you don't feel like you really did it. So it just, the feeling of satisfaction I have inside is deeper than just seeing the money that we're bringing in.","The guest attributes their success mostly to hard work and the efforts of their team, emphasizing the importance of hands-on work and learning from mistakes rather than relying on external resources.",2,8,5
Grindr,"You know, this is a tough one because it's hard to tell, right? I'm not a huge believer in luck. I don't, I don't actually really know, understand what that means. Yeah. I'm also very fortunate and you know, I grew up to parents who were supportive financially and emotionally and in many, many different ways. You know, I don't know, is that, you know, luck in some ways. Sure. But I had a lot of people who come up to me and said, Hey, I had that idea too. And my response to all them is always the same thing. It's like, well, what did you do about it? And the answer always is nothing. Yeah. I go back to what I, I said earlier, and that's, I, I, you know, I believe in myself. I don't let other people tell me what to do or to validate me, and I figure it out. And just understanding that, you know, I may be right, I might be wrong, but at the end of the day, I'm a happy guy.","Success is attributed more to hard work and skill rather than luck, with a strong emphasis on self-belief and determination. The individual acknowledges the support received from parents and the importance of taking action on ideas.",2,8,6
Chobani,"I guess combination of all? I don't know. I sometimes pinch myself to see that this is really happened. Mm. I always say I brought a seed. Maybe it was loaded with a lot of tradition, love, you know, knowledge, you know, whatever it is. But this land was a great soil for that seed to become something. Yeah. And my, I have three kids now, a girl and two boys and that's, I feel likes my biggest responsibility to make sure that the next generation, my children and the children's and children's and everybody's children find the land the way that we found it. And if anything is improved. But I think it's in there, it's in an enormous amount of stress. And we cannot take this as, you know, as like granted we, we just have to make it work and we need to work harder to make sure that this stays alive.","Success is attributed to a combination of factors including tradition, love, knowledge, and the supportive environment provided by the land. The individual feels a responsibility to ensure future generations have the same opportunities for success.",3,7,7
MOD Pizza & Seattle Coffee Company,"I do think that part of it is we've been very lucky, but I also think part of it has, we have that, you know, we, we subscribe to the saying that the harder you work, the luckier you get sometimes. And I think we've worked hard at, at being friends and supporters of each other through all of it. You just sometimes have to shift how you're engaging or what the stages of life that you're in. And I think Scott and I have been so lucky because the things that we've been collaborating on, whether it's having our kids or the businesses that we've built, it's stuff that we've been able to share. It hasn't been divisive stuff. It's been stuff that we could come together on. And that's kind of how we've chosen to approach it, which has strengthened us, not weakened us.","The success is attributed to a combination of luck, hard work, and support from each other.",4,6,7
Patreon,"I mean, my opinion on this is largely, like, if you're fortunate enough to be, to fall in, in order to build as part of a community that is this excited about an idea, I felt like if it wasn't us, it was going to be someone else. And so in a lot of ways, at least personally, I feel like very appreciative of sort of the, you could call it luck to of the timing and the opportunity to, to do this. I also think just to, to the general point of view your question, like, we wouldn't have been able to make it if we didn't work extremely hard from the get-go. Yeah. You know, I've done a thousand things in my life, 999 of them haven't worked. Patreon was one that happened to work. Was I smarter? Did I make better decisions? The patient like, no, I mean, it just was like, it was a lot of happenstance and circumstance and, and, you know, sound like killed ourselves to like, to, to, to, you know, do it. Of course, I love this attitude too, because it puts us in a place where I think both of us feel an immense sense of responsibility and that we have to be great stewards right. Of both creators and, and the opportunity and, and even our teams that are helping us along on this mission. And I think we take that very seriously.","The guest believes that a significant portion of their success can be attributed to luck, particularly in terms of timing and opportunity. However, they also emphasize the importance of hard work and dedication in making their venture successful. They feel a sense of responsibility towards their team and the creators they support.",7,8,5
Sukhi’s Gourmet Indian Food,"So all I say, you know, you have to be at the right time at the right place with the right amount of luck. And I think all three contributed to us. And also we had people come into our lives or into the business, which just took us from point a to point B. And you know, there's a saying, which I, a hundred percent believe in. One is one, but one in one is not two. It becomes 11. And the third one becomes 111. And as every family member joined our growth possibilities increased and we were able to do a lot more. Yeah. And I, I think, I think about this question, you know, a couple of different ways, you know, one is perspective for mom. If she hadn't taken the right attitude towards the fire and worked through that fire situation, or, you know, done, done so many things where it was a make or break moment for the company that we wouldn't be here today and that's pure hard work, but for me, it's, it's luck. You know, it's being born into a certain family, having a certain mom that would do those types of things. And so it's not an either or, but a both. So, you know, 17 years coming into the country, we worked certain there and I worked seven days a week, 14 hours a day. The only time we would get together was a Sunday evening when everybody did their farmer's markets or demos and came back, that was the only meal in the evening that we all shared together. It was sheer hard labor that we did. And the children of course put in just as much from day one. So those were the things which really, I think, supplied the fire and the fuel to the company.","Success is attributed to a combination of luck, hard work, and the support of people around them. Luck played a significant role in being born into the right family, while hard work and dedication were essential in overcoming challenges and fueling the company's growth. The support of family members and their collective effort further contributed to their success.",6,8,7
